n_voxels,volume_ml,elongation,wall_contact_fraction,centroid_wall_distance_mm,compactness,filename,fold,component_id,label
131,0.30608177185058594,14.290146249661722,0.4732824427480916,1.3671875,0.07581018518518519,20251028003-1.nii.gz,holdout,8,0
44521,104.02340888977051,12.458780472525326,0.08555513128635925,6.971315741240136,0.015578243574993631,20251028003-1.nii.gz,holdout,11,0
11,0.025701522827148438,10.170059589955732,0.9090909090909091,0.68359375,0.13095238095238096,20251028003-1.nii.gz,holdout,18,0
268,0.6261825561523438,10.044202160357704,0.3843283582089552,1.5285620939939968,0.09544159544159544,20251028003-1.nii.gz,holdout,26,0
5,0.011682510375976562,50.0,1.0,0.966747552403483,0.20833333333333334,20251028003-1.nii.gz,holdout,29,0
184,0.4299163818359375,9.04350707739659,0.3423913043478261,1.933495104806966,0.07744107744107744,20251028003-1.nii.gz,holdout,32,0
1071,2.5023937225341797,3.9660426994237064,0.5490196078431373,1.933495104806966,0.07781168265039233,20251028003-1.nii.gz,holdout,34,0
17,0.03972053527832031,5.655967935396843,0.8235294117647058,0.966747552403483,0.20238095238095238,20251028003-1.nii.gz,holdout,42,0
7,0.016355514526367188,8.476177151678337,1.0,0.68359375,0.4375,20251028003-1.nii.gz,holdout,44,0
5,0.011682510375976562,50.0,0.0,19.96515098936946,0.4166666666666667,20251028003-1.nii.gz,holdout,47,0
12,0.02803802490234375,50.0,0.0,34.32633718176768,0.75,20251028003-1.nii.gz,holdout,48,0
10050,23.48184585571289,8.636634614577913,0.0445771144278607,8.88671875,0.04720570414001071,20251028003-1.nii.gz,holdout,51,1
123908,289.5112991333008,4.8022059733776485,0.0,38.96484375,0.10457033145557736,20251028003-1.nii.gz,holdout,52,0
40,0.0934600830078125,4.008617115789841,0.0,21.383472213631087,0.4166666666666667,20251028003-1.nii.gz,holdout,53,0
2807,6.558561325073242,3.338738849081306,0.39472746704666906,3.0571241879879936,0.06433351668500184,20251028003-1.nii.gz,holdout,54,0
7,0.016355514526367188,50.0,0.0,31.489863142174666,0.7777777777777778,20251028003-1.nii.gz,holdout,56,0
