filepath,filename,status,elapsed_s,volume_reduction,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,error
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028003-1.nii.gz,20251028003-1.nii.gz,ok,3.3672523498535156,0.318359375,-178.31640625,-301.25,96.9000244140625,171.68359375,-62.67578125,496.9000244140625,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028008-1.nii.gz,20251028008-1.nii.gz,ok,7.720041275024414,0.31827545166015625,-207.9239044189453,-284.9546890258789,-875.7760009765625,167.5331268310547,2.6624984741210938,-345.7760009765625,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028010-1.nii.gz,20251028010-1.nii.gz,ok,5.8697614669799805,0.3491058349609375,-186.751953125,-291.8935852050781,-1101.0,190.751953125,-14.639678955078125,-676.0,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028013-1.nii.gz,20251028013-1.nii.gz,ok,3.8274621963500977,0.352783203125,-149.5713348388672,-296.68088722229004,-630.9000244140625,198.7489776611328,-42.30588722229004,-122.83551216125488,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028015-1.nii.gz,20251028015-1.nii.gz,ok,6.822798252105713,0.298828125,-159.85560607910156,-278.640625,-78.60399627685547,173.14439392089844,-45.150390625,396.39600372314453,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028023-1.nii.gz,20251028023-1.nii.gz,ok,3.072646141052246,0.3051109313964844,-168.9649200439453,-285.0451250076294,-1384.404052734375,177.2284393310547,-23.461140632629395,-854.004072189331,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028025-1.nii.gz,20251028025-1.nii.gz,ok,2.3711163997650146,0.5395889282226562,-183.84957885742188,-286.5389976501465,-1266.4000244140625,208.42776489257812,-68.51360702514648,-845.8872146606445,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028027-1.nii.gz,20251028027-1.nii.gz,ok,4.8820226192474365,0.4513092041015625,-146.26708984375,-294.36973571777344,-201.70001220703125,262.35791015625,-24.869735717773438,274.3256239891052,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028030-1.nii.gz,20251028030-1.nii.gz,ok,5.123203754425049,0.30859375,-179.3108367919922,-283.69625091552734,-1067.760986328125,222.6891632080078,-5.750938415527344,-541.0943322181702,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028031-1.nii.gz,20251028031-1.nii.gz,ok,8.146767139434814,0.296875,-222.58042907714844,-303.8046875,-566.8800048828125,234.41957092285156,17.5234375,-51.8800048828125,
